semimajor axis, a [meters]: 6871000.000000000000000
 eccentricity, e [-]: 0.000000000000000
 inclination, i [rad]:        0.832000
Perigee argument, omega [rad]:        0.200000
 Right Ascension of Ascending Node, raan [rad],        1.600000
 Initial Mean anomaly [rad]:        0.971205
Latitude	Longitude	Altitude	Station
43.209037000000000	-77.950921000000010	0.000000000000000	0 
42.700192000000000	-77.408628000000010	0.000000000000000	1 
43.204291000000000	-77.469981000000000	0.000000000000000	2 
Elevation wrt 0	Azimuth wrt 0	Range wrt 0	Latitude	Longitude	Altitude	Time	
0.003793995593005	3.811271608626483	2531304.316364613000000	25.213188650301422	-92.591821959079810	492863.000000000350000	2019-10-30T11:26:06.751	
0.019522624489077	3.798985473172264	2433909.793024221400000	25.845685008902933	-91.864958048856000	492863.000000003700000	2019-10-30T11:26:21.751	
0.035860948858085	3.785625417266506	2336922.826031513500000	26.473867026036580	-91.129633868744550	492863.000000003140000	2019-10-30T11:26:36.751	
0.052877799145651	3.771047755513644	2240422.987610562200000	27.097565460898550	-90.385578908129740	492863.000000001700000	2019-10-30T11:26:51.751	
0.070651231786453	3.755083369748594	2144502.619967404800000	27.716606428058462	-89.632520794258140	492863.000000000760000	2019-10-30T11:27:06.751	
0.089269644984019	3.737532156119136	2049269.591696602500000	28.330811260253896	-88.870185576541300	492863.000000003400000	2019-10-30T11:27:21.751	
0.108832842793596	3.718156075460539	1954850.746143509600000	28.939996374537003	-88.098298053371020	492863.000000002300000	2019-10-30T11:27:36.751	
0.129452882255239	3.696670436758302	1861396.230231973300000	29.543973142694260	-87.316582144755740	492862.999999999700000	2019-10-30T11:27:51.751	
0.151254410633634	3.672732960832457	1769084.941563486100000	30.142547766963320	-86.524761314160430	492863.000000002800000	2019-10-30T11:28:06.751	
0.174373989334620	3.645930093987248	1678131.388307644500000	30.735521162183993	-85.722559043030120	492863.000000001750000	2019-10-30T11:28:21.751	
0.198957559407173	3.615760002536308	1588794.315069409300000	31.322688845636172	-84.909699361595440	492863.000000002850000	2019-10-30T11:28:36.751	
0.225154660108765	3.581611753541902	1501387.494251569300000	31.903840835942457	-84.085907439546670	492863.000000000930000	2019-10-30T11:28:51.751	
0.253107173581659	3.542740532311280	1416293.084833104200000	32.478761562541614	-83.250910240201720	492863.000000004130000	2019-10-30T11:29:06.751	
0.282929138376562	3.498239679590482	1333977.855270019300000	33.047229787374086	-82.404437241742670	492863.000000003900000	2019-10-30T11:29:21.751	
0.314672526632475	3.447012455101559	1255012.235546932300000	33.609018540557730	-81.546221229003600	492863.000000005000000	2019-10-30T11:29:36.751	
0.348272069895808	3.387750822182126	1180091.401574414500000	34.163895071973780	-80.675999159147220	492863.000000001400000	2019-10-30T11:29:51.751	
0.383461271883014	3.318936875904158	1110056.094921518600000	34.711620820833370	-79.793513104310700	492863.000000005200000	2019-10-30T11:30:06.751	
0.419654373789025	3.238896719939172	1045908.275527681900000	35.251951405366285	-78.898511274030450	492863.000000004800000	2019-10-30T11:30:21.751	
0.455800774805152	3.145956617298265	988812.811919056100000	35.784636635119660	-77.990749119848430	492863.000000004400000	2019-10-30T11:30:36.751	
0.490247251296394	3.038768508570103	940071.878950577100000	36.309420548137330	-77.069990523942920	492863.000000006600000	2019-10-30T11:30:51.751	
0.520692662771375	2.916856694047134	901056.138697613600000	36.826041475759160	-76.136009073080030	492863.000000001460000	2019-10-30T11:31:06.751	
0.544367837798389	2.781332475008528	873081.407014383500000	37.334232137680540	-75.188589418381170	492863.000000004400000	2019-10-30T11:31:21.751	
0.558549087249956	2.635493832444267	857237.232340277300000	37.833719770071120	-74.227528720546870	492863.000000005000000	2019-10-30T11:31:36.751	
0.561332829503977	2.484807363494071	854203.527546871300000	38.324226289611950	-73.252638179096590	492863.000000005060000	2019-10-30T11:31:51.751	
0.552319267194690	2.335922030793722	864116.514369022500000	38.805468496350684	-72.263744643104690	492863.000000006900000	2019-10-30T11:32:06.751	
0.532769983920661	2.195036735381488	886540.050309382800000	39.277158318282610	-71.260692299410370	492863.000000003840000	2019-10-30T11:32:21.751	
0.505127045768245	2.066522786488378	920555.401140905700000	39.739003100535540	-70.243344432959550	492863.000000004950000	2019-10-30T11:32:36.751	
0.472223193081085	1.952464597074381	964929.775493183000000	40.190705941958310	-69.211585252115920	492863.000000003400000	2019-10-30T11:32:51.751	
0.436619944406956	1.853037027464491	1018299.768740367500000	40.631966081786670	-68.165321770069800	492863.000000003400000	2019-10-30T11:33:06.751	
0.400278297376835	1.767218509662599	1079319.645134191300000	41.062479338871600	-67.104485731472300	492863.000000006200000	2019-10-30T11:33:21.751	
0.364516570077831	1.693434275698469	1146755.005645728700000	41.481938605704530	-66.029035571360670	492863.000000002100000	2019-10-30T11:33:36.751	
0.330118973951527	1.629982423494415	1219526.686119000200000	41.890034399151740	-64.938958391269010	492863.000000004000000	2019-10-30T11:33:51.751	
0.297484542265587	1.575260570944427	1296719.943249633800000	42.286455469410370	-63.834271935172270	492863.000000001860000	2019-10-30T11:34:06.751	
0.266760132910131	1.527860054167629	1377573.973613482700000	42.670889468221740	-62.715026545691460	492863.000000002040000	2019-10-30T11:34:21.751	
0.237940113848399	1.486587065090808	1461462.701384620300000	43.043023676814116	-61.581307078693370	492863.000000005600000	2019-10-30T11:34:36.751	
0.210934069457647	1.450449375397676	1547873.408441309400000	43.402545793402290	-60.433234752369835	492863.000000005600000	2019-10-30T11:34:51.751	
0.185609866671274	1.418630084308810	1636386.565856142400000	43.749144779341450	-59.270968904808406	492863.000000007450000	2019-10-30T11:35:06.751	
