numStations=3
Station 0:Luca: (43.109762, -77.410156)
Station 1:Anthony: (39.7744, -76.679444)
Station 2:Satnogs: (43.229, -79.759)
numEvents=2
Access Number: 0            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-03-25T19:51:43.266     437.15824907     437.15824256    437.15825556   437.15652141     437.15650807    437.15653470   437.15885126     437.15884617    437.15885633
2020-03-25T19:52:43.266     437.15626915     437.15625486    437.15628338   437.15270782     437.15268297    437.15273262   437.15720514     437.15719254    437.15721769
2020-03-25T19:53:43.266     437.15224757     437.15222191    437.15227320   437.14738817     437.14736321    437.14741318   437.15324452     437.15321671    437.15327226
2020-03-25T19:54:43.266     437.14694093     437.14691688    437.14696503   437.14353724     437.14352380    437.14355074   437.14708440     437.14705584    437.14711303
2020-03-25T19:55:43.266     437.14330082     437.14328829    437.14331340   437.14167231     437.14166621    437.14167844   437.14295100     437.14293779    437.14296427
2020-03-25T19:56:43.266     437.14156623     437.14156055    437.14157193   437.14081817     437.14081530    437.14082105   437.14122039     437.14121508    437.14122572
2020-03-25T19:56:48.233     437.14147499     437.14146967    437.14148034   437.14077202     437.14076932    437.14077473   437.14113542     437.14113048    437.14114038
Access Number: 1            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-03-26T19:57:22.304     437.15733565     437.15732646    437.15734481   437.15497403     437.15495691    437.15499110   437.15810824     437.15810056    437.15811587
2020-03-26T19:58:22.304     437.15468074     437.15466269    437.15469874   437.15064710     437.15062227    437.15067193   437.15570344     437.15568579    437.15572102
2020-03-26T19:59:22.304     437.15020664     437.15018156    437.15023171   437.14598542     437.14596575    437.14600514   437.15085776     437.15082846    437.15088704
2020-03-26T20:00:22.304     437.14562693     437.14560811    437.14564579   437.14302696     437.14301661    437.14303735   437.14544209     437.14542045    437.14546380
2020-03-26T20:01:22.304     437.14283110     437.14282141    437.14284082   437.14155279     437.14154777    437.14155782   437.14240547     437.14239572    437.14241526
2020-03-26T20:01:41.193     437.14228534     437.14227764    437.14229306   437.14126927     437.14126526    437.14127330   437.14186591     437.14185845    437.14187340
