numStations=3
Station 0:Luca: (43.109762, -77.410156)
Station 1:Connor: (40.73902,-73.14815)
Station 2:Anthony: (39.7744, -76.679444)
numEvents=3
Access Number: 0            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-03-23T05:02:08.441     437.15616519     437.15615613    437.15617423   437.15822832     437.15822346    437.15823316   437.15737216     437.15736376    437.15738052
2020-03-23T05:02:08.941     437.15615008     437.15614098    437.15615915   437.15822022     437.15821533    437.15822509   437.15735815     437.15734970    437.15736657
2020-03-23T05:02:09.441     437.15613489     437.15612575    437.15614401   437.15821206     437.15820715    437.15821696   437.15734405     437.15733554    437.15735252
2020-03-23T05:02:09.941     437.15611965     437.15611047    437.15612880   437.15820386     437.15819891    437.15820879   437.15732985     437.15732129    437.15733838
2020-03-23T05:02:10.441     437.15610433     437.15609511    437.15611353   437.15819561     437.15819063    437.15820056   437.15731557     437.15730695    437.15732415
2020-03-23T05:02:10.941     437.15608895     437.15607969    437.15609819   437.15818730     437.15818230    437.15819229   437.15730119     437.15729252    437.15730983
2020-03-23T05:02:11.441     437.15607350     437.15606420    437.15608278   437.15817895     437.15817392    437.15818397   437.15728672     437.15727799    437.15729541
2020-03-23T05:02:11.941     437.15605798     437.15604864    437.15606730   437.15817055     437.15816548    437.15817560   437.15727216     437.15726337    437.15728091
2020-03-23T05:02:12.441     437.15604240     437.15603301    437.15605176   437.15816209     437.15815700    437.15816717   437.15725750     437.15724866    437.15726630
2020-03-23T05:02:12.941     437.15602674     437.15601732    437.15603615   437.15815359     437.15814846    437.15815870   437.15724274     437.15723385    437.15725161
2020-03-23T05:02:13.441     437.15601102     437.15600156    437.15602046   437.15814503     437.15813987    437.15815017   437.15722789     437.15721894    437.15723682
2020-03-23T05:02:13.941     437.15599523     437.15598572    437.15600471   437.15813642     437.15813123    437.15814159   437.15721295     437.15720394    437.15722193
2020-03-23T05:02:14.441     437.15597937     437.15596982    437.15598890   437.15812776     437.15812254    437.15813296   437.15719791     437.15718884    437.15720694
2020-03-23T05:02:14.941     437.15596344     437.15595385    437.15597301   437.15811905     437.15811379    437.15812428   437.15718277     437.15717364    437.15719186
2020-03-23T05:02:15.441     437.15594744     437.15593781    437.15595705   437.15811028     437.15810499    437.15811555   437.15716753     437.15715834    437.15717669
2020-03-23T05:02:15.941     437.15593138     437.15592170    437.15594103   437.15810146     437.15809614    437.15810676   437.15715220     437.15714295    437.15716141
2020-03-23T05:02:16.441     437.15591524     437.15590552    437.15592493   437.15809259     437.15808724    437.15809792   437.15713676     437.15712746    437.15714604
2020-03-23T05:02:16.941     437.15589903     437.15588927    437.15590876   437.15808366     437.15807828    437.15808902   437.15712123     437.15711186    437.15713056
2020-03-23T05:02:17.441     437.15588275     437.15587295    437.15589253   437.15807468     437.15806926    437.15808007   437.15710560     437.15709617    437.15711499
2020-03-23T05:02:17.941     437.15586641     437.15585656    437.15587622   437.15806564     437.15806019    437.15807107   437.15708986     437.15708037    437.15709931
2020-03-23T05:02:18.441     437.15584999     437.15584010    437.15585985   437.15805655     437.15805107    437.15806201   437.15707402     437.15706447    437.15708354
2020-03-23T05:02:18.941     437.15583350     437.15582357    437.15584340   437.15804740     437.15804188    437.15805290   437.15705808     437.15704847    437.15706766
2020-03-23T05:02:19.441     437.15581694     437.15580697    437.15582688   437.15803820     437.15803265    437.15804373   437.15704204     437.15703237    437.15705168
2020-03-23T05:02:19.941     437.15580031     437.15579030    437.15581030   437.15802894     437.15802336    437.15803450   437.15702590     437.15701616    437.15703560
2020-03-23T05:02:20.441     437.15578361     437.15577355    437.15579364   437.15801962     437.15801401    437.15802522   437.15700965     437.15699985    437.15701941
2020-03-23T05:02:20.941     437.15576683     437.15575674    437.15577691   437.15801025     437.15800460    437.15801588   437.15699329     437.15698343    437.15700312
2020-03-23T05:02:21.441     437.15574999     437.15573985    437.15576010   437.15800082     437.15799513    437.15800648   437.15697684     437.15696691    437.15698672
2020-03-23T05:02:21.941     437.15573307     437.15572289    437.15574323   437.15799133     437.15798561    437.15799703   437.15696027     437.15695028    437.15697022
2020-03-23T05:02:22.441     437.15571608     437.15570585    437.15572628   437.15798179     437.15797603    437.15798752   437.15694360     437.15693354    437.15695361
2020-03-23T05:02:22.941     437.15569902     437.15568875    437.15570927   437.15797218     437.15796639    437.15797795   437.15692682     437.15691670    437.15693690
2020-03-23T05:02:23.441     437.15568189     437.15567157    437.15569218   437.15796252     437.15795669    437.15796832   437.15690993     437.15689975    437.15692008
2020-03-23T05:02:23.941     437.15566468     437.15565432    437.15567501   437.15795280     437.15794694    437.15795864   437.15689294     437.15688269    437.15690315
2020-03-23T05:02:24.441     437.15564740     437.15563700    437.15565778   437.15794302     437.15793712    437.15794889   437.15687583     437.15686552    437.15688611
2020-03-23T05:02:24.941     437.15563005     437.15561960    437.15564047   437.15793317     437.15792724    437.15793909   437.15685862     437.15684824    437.15686896
2020-03-23T05:02:25.441     437.15561263     437.15560214    437.15562309   437.15792327     437.15791730    437.15792922   437.15684129     437.15683084    437.15685170
2020-03-23T05:02:25.941     437.15559513     437.15558459    437.15560564   437.15791331     437.15790730    437.15791929   437.15682386     437.15681334    437.15683433
2020-03-23T05:02:26.441     437.15557756     437.15556698    437.15558811   437.15790329     437.15789724    437.15790931   437.15680631     437.15679573    437.15681685
2020-03-23T05:02:26.941     437.15555991     437.15554929    437.15557051   437.15789320     437.15788712    437.15789926   437.15678865     437.15677800    437.15679926
2020-03-23T05:02:27.441     437.15554219     437.15553153    437.15555283   437.15788305     437.15787694    437.15788915   437.15677088     437.15676016    437.15678155
2020-03-23T05:02:27.941     437.15552440     437.15551369    437.15553508   437.15787284     437.15786669    437.15787898   437.15675299     437.15674220    437.15676373
2020-03-23T05:02:28.441     437.15550653     437.15549578    437.15551726   437.15786257     437.15785638    437.15786874   437.15673499     437.15672413    437.15674580
2020-03-23T05:02:28.941     437.15548859     437.15547779    437.15549937   437.15785224     437.15784600    437.15785845   437.15671687     437.15670595    437.15672776
2020-03-23T05:02:29.441     437.15547058     437.15545973    437.15548139   437.15784184     437.15783557    437.15784808   437.15669864     437.15668765    437.15670959
2020-03-23T05:02:29.941     437.15545249     437.15544160    437.15546335   437.15783137     437.15782507    437.15783766   437.15668029     437.15666923    437.15669131
2020-03-23T05:02:30.441     437.15543432     437.15542339    437.15544523   437.15782085     437.15781450    437.15782717   437.15666183     437.15665069    437.15667292
2020-03-23T05:02:30.941     437.15541608     437.15540510    437.15542703   437.15781025     437.15780387    437.15781662   437.15664324     437.15663204    437.15665441
2020-03-23T05:02:31.441     437.15539777     437.15538674    437.15540876   437.15779960     437.15779317    437.15780600   437.15662454     437.15661327    437.15663578
