numStations=3
Station 0:Luca: (43.109762, -77.410156)
Station 1:Anthony: (39.7744, -76.679444)
Station 2:Satnogs: (43.229, -79.759)
numEvents=2
NOTE: Azimuth angles are measured clockwise from North. 
Access Number: 0         Satellite (Elevation, Azimuth) wrt Stations (deg)
2020-03-25T19:51:43.266 | 21.603, 198.798      30.972, 211.522      22.381, 187.703      
2020-03-25T19:52:43.266 | 32.095, 213.352      41.899, 239.479      35.009, 198.557      
2020-03-25T19:53:43.266 | 42.669, 243.093      42.100, 281.238      51.933, 227.800      
2020-03-25T19:54:43.266 | 41.431, 284.818      31.307, 309.627      52.838, 287.858      
2020-03-25T19:55:43.266 | 30.314, 311.513      21.056, 323.526      36.034, 319.126      
2020-03-25T19:56:43.266 | 20.296, 324.574      13.488, 331.031      23.111, 330.588      
2020-03-25T19:56:48.233 | 19.595, 325.324      12.957, 331.496      22.268, 331.193      
Access Number: 1
2020-03-26T19:57:22.304 | 23.577, 208.656      31.954, 225.715      25.324, 197.131      
2020-03-26T19:58:22.304 | 33.006, 227.813      38.305, 256.807      38.017, 214.135      
2020-03-26T19:59:22.304 | 38.742, 260.179      34.311, 290.585      48.958, 252.681      
2020-03-26T20:00:22.304 | 33.808, 293.443      25.084, 311.851      42.145, 297.827      
2020-03-26T20:01:22.304 | 24.416, 313.640      16.917, 323.532      28.737, 319.639      
2020-03-26T20:01:41.193 | 21.660, 317.825      14.750, 326.082      25.175, 323.544      
