1.002	166.568	3126514.505	4.751	166.524	2751409.425	0.404	161.674	3191537.234	6.1
1.008	166.568	3125841.049	4.758	166.525	2750737.922	0.41	161.674	3190863.182	6.2
1.014	166.569	3125167.594	4.765	166.526	2750066.426	0.416	161.673	3190189.132	6.3
1.021	166.57	3124494.141	4.773	166.526	2749394.938	0.422	161.673	3189515.082	6.4
1.027	166.57	3123820.69	4.78	166.527	2748723.457	0.428	161.673	3188841.033	6.5
1.033	166.571	3123147.24	4.787	166.527	2748051.983	0.435	161.672	3188166.985	6.6
1.04	166.571	3122473.792	4.794	166.528	2747380.517	0.441	161.672	3187492.938	6.7
1.046	166.572	3121800.345	4.802	166.528	2746709.058	0.447	161.672	3186818.892	6.8
1.052	166.573	3121126.901	4.809	166.529	2746037.607	0.453	161.672	3186144.846	6.9
1.059	166.573	3120453.457	4.816	166.529	2745366.162	0.459	161.671	3185470.802	7
1.065	166.574	3119780.016	4.823	166.53	2744694.726	0.465	161.671	3184796.758	7.1
1.071	166.575	3119106.576	4.831	166.53	2744023.297	0.472	161.671	3184122.715	7.2
1.077	166.575	3118433.138	4.838	166.531	2743351.875	0.478	161.671	3183448.673	7.3
1.084	166.576	3117759.702	4.845	166.531	2742680.461	0.484	161.67	3182774.632	7.4
1.09	166.576	3117086.267	4.852	166.532	2742009.054	0.49	161.67	3182100.591	7.5
1.096	166.577	3116412.835	4.86	166.532	2741337.655	0.496	161.67	3181426.552	7.6
1.103	166.578	3115739.403	4.867	166.533	2740666.263	0.503	161.669	3180752.513	7.7
1.109	166.578	3115065.974	4.874	166.534	2739994.879	0.509	161.669	3180078.476	7.8
1.115	166.579	3114392.546	4.882	166.534	2739323.502	0.515	161.669	3179404.439	7.9
1.122	166.579	3113719.121	4.889	166.535	2738652.133	0.521	161.669	3178730.404	8
1.128	166.58	3113045.696	4.896	166.535	2737980.771	0.527	161.668	3178056.369	8.1
1.134	166.581	3112372.274	4.903	166.536	2737309.417	0.533	161.668	3177382.335	8.2
1.141	166.581	3111698.854	4.911	166.536	2736638.071	0.54	161.668	3176708.302	8.3
1.147	166.582	3111025.435	4.918	166.537	2735966.732	0.546	161.668	3176034.27	8.4
1.153	166.582	3110352.018	4.925	166.537	2735295.401	0.552	161.667	3175360.239	8.5
1.16	166.583	3109678.603	4.933	166.538	2734624.077	0.558	161.667	3174686.21	8.6
1.166	166.584	3109005.189	4.94	166.538	2733952.762	0.564	161.667	3174012.181	8.7
1.172	166.584	3108331.778	4.947	166.539	2733281.453	0.571	161.666	3173338.153	8.8
1.179	166.585	3107658.368	4.954	166.539	2732610.153	0.577	161.666	3172664.126	8.9
1.185	166.586	3106984.96	4.962	166.54	2731938.86	0.583	161.666	3171990.1	9
