Latitude	Longitude	Altitude	Station
-1.355758672979805	0.751979331918547	0.000000000000000	0 
-1.355753384632172	0.751982002272302	0.000000000000000	1 
-1.355756473864948	0.751984934425446	0.000000000000000	2 
Elevation wrt 0	Azimuth wrt 0	Range wrt 0	Latitude	Longitude	Altitude	Time	
0.000003241084041	2.333665300987053	3281369.454953898000000	-1.212731194915640	0.068576277632853	792372.841761920300000	2019-10-21T13:32:13.277	
0.067050103784910	2.327794643785449	2880813.701714743400000	-1.266612866307092	-0.026293175235303	792461.022250248600000	2019-10-21T13:33:13.277	
0.145467406602014	2.321483429462581	2482023.586698488000000	-1.316876833022010	-0.158820613007954	792139.496038967000000	2019-10-21T13:34:13.277	
0.241618377642847	2.314420175960060	2088107.589471409800000	-1.360919934991787	-0.349951814173722	791402.811446786900000	2019-10-21T13:35:13.277	
0.367208413277879	2.305944176451528	1704634.742008532000000	-1.394031248611342	-0.624820646135890	790248.767612929600000	2019-10-21T13:36:13.277	
0.545175760199011	2.294362091252215	1342867.432249754200000	-1.409326700463586	-0.984363505852250	788678.500542414500000	2019-10-21T13:37:13.277	
0.820808250366657	2.273630700193022	1028327.606379766800000	-1.401869222306465	-1.361418319885333	786696.534621048600000	2019-10-21T13:38:13.277	
1.258583656505223	2.194444112750238	819516.727659476000000	-1.374197835602187	-1.669495342730948	784310.798609901100000	2019-10-21T13:39:13.277	
1.315281958223482	5.592522183657624	804778.845173401300000	-1.333237632316318	-1.888035250527541	781532.605401574800000	2019-10-21T13:40:13.277	
0.853968333554668	5.488638342584659	993049.371876062400000	-1.284600212555406	-2.038760807979072	778376.595105333600000	2019-10-21T13:41:13.277	
0.560222434127808	5.466022664434004	1298506.288420070700000	-1.231532698959863	-2.145259104829161	774860.641330002300000	2019-10-21T13:42:13.277	
0.372408344284051	5.454051505772633	1656873.057522025200000	-1.175778005910311	-2.223413637761984	771005.720857872900000	2019-10-21T13:43:13.277	
0.241409826952340	5.445563254693727	2039532.000328787800000	-1.118290649644467	-2.282956938395734	766835.747253468800000	2019-10-21T13:44:13.277	
0.142053368394046	5.438653959820734	2433987.850876103000000	-1.059618340512711	-2.329854454019312	762377.369331561000000	2019-10-21T13:45:13.277	
0.061576323842150	5.432600889638962	2834153.450738639600000	-1.000091304608058	-2.367865377366125	757659.735820799400000	2019-10-21T13:46:13.277	
