Latitude	Longitude	Altitude	Station
-1.355756142252390	0.751981147060969	0.000000000000000	0 
-1.355399362046697	0.751334572386275	0.000000000000000	1 
-1.355562585238344	0.751997535702645	0.000000000000000	2 
Elevation wrt 0	Azimuth wrt 0	Range wrt 0	Latitude	Longitude	Altitude	Time	
0.000346536730923	2.333636230550186	3279177.472030736500000	-1.213034173979802	0.068130851072552	792374.431137860500000	2019-10-21T13:32:13.607	
0.067443855064705	2.327764434497932	2878625.288922993000000	-1.266900560415216	-0.026902957336516	792460.381582229300000	2019-10-21T13:33:13.607	
0.145937586482585	2.321451121554992	2479851.828729073000000	-1.317138943169335	-0.159687538558785	792136.586700585100000	2019-10-21T13:34:13.607	
0.242211042293943	2.314383807982630	2085974.527495882000000	-1.361137216424123	-0.351212251264932	791397.612373601500000	2019-10-21T13:35:13.607	
0.368010920820494	2.305899117324471	1702582.028384901100000	-1.394170653697048	-0.626589942086161	790241.275867311000000	2019-10-21T13:36:13.607	
0.546362920387338	2.294294636752987	1340984.018812680000000	-1.409349421737891	-0.986479720404948	788668.731691894100000	2019-10-21T13:37:13.607	
0.822709846891737	2.273479335199401	1026822.407670710700000	-1.401766692531330	-1.363353068028513	786684.522923988400000	2019-10-21T13:38:13.607	
1.261461155142744	2.193328001883240	818834.628048601700000	-1.374002803271146	-1.670929116078958	784296.597003809600000	2019-10-21T13:39:13.607	
1.312322366658362	5.590697262532963	805316.160582639600000	-1.332987492267251	-1.889023892948731	781516.285290881000000	2019-10-21T13:40:13.607	
0.851945951938478	5.488420810460903	994481.669301888400000	-1.284318677957840	-2.039448568249510	778358.245947061900000	2019-10-21T13:41:13.607	
0.558965738580981	5.465924370197708	1300360.739240179800000	-1.231232617005049	-2.145754646042288	774840.370017515500000	2019-10-21T13:42:13.607	
0.371568460594960	5.453986704207329	1658916.462173499900000	-1.175466297266479	-2.223784753986961	770983.650904660300000	2019-10-21T13:43:13.607	
0.240795725846781	5.445512742037919	2041665.444732127500000	-1.117971197351584	-2.283244872591129	766812.017781012000000	2019-10-21T13:44:13.607	
0.141569828413916	5.438611006659625	2436165.653198643600000	-1.059293434713965	-2.330084817081270	762352.133867457900000	2019-10-21T13:45:13.607	
0.061173559351194	5.432562508605033	2836351.753171896600000	-0.999762361811531	-2.368054604559938	757633.160915661100000	2019-10-21T13:46:13.607	
