semimajor axis, a [meters]: 6871000.000000000000000
 eccentricity, e [-]: 0.000000000000000
 inclination, i [rad]:        0.832000
Perigee argument, omega [rad]:        0.200000
 Right Ascension of Ascending Node, raan [rad],        1.600000
 Initial Mean anomaly [rad]:        0.971205
Latitude	Longitude	Altitude	Station
43.209037000000000	-77.950921000000010	175.000000000000000	0 
42.700192000000000	-77.408628000000010	701.000000000000000	1 
43.204291000000000	-77.469981000000000	147.000000000000000	2 
Elevation wrt 0	Azimuth wrt 0	Range wrt 0	Latitude	Longitude	Altitude	Time	
0.003792682622177	3.813349860512540	2548646.740249303600000	25.100477107786855	-92.719982408966390	500000.000000000760000	2019-10-30T11:26:04.089	
0.019527735321509	3.801240990033702	2451296.521931933200000	25.733721953712750	-91.994592150802800	500000.000000000640000	2019-10-30T11:26:19.089	
0.035868806756108	3.788081398874339	2354345.053772535000000	26.362682024947222	-91.260789426802620	500000.000000003670000	2019-10-30T11:26:34.089	
0.052883923651809	3.773731423314476	2257870.321056028000000	26.987188890602420	-90.518304083571250	500000.000000003900000	2019-10-30T11:26:49.089	
0.070650204448453	3.758026830052002	2161962.704094381500000	27.607069499805366	-89.766864059314770	500000.000000002800000	2019-10-30T11:27:04.089	
0.089254969315381	3.740773478366094	2066727.633186355700000	28.222146043986196	-89.006195660926740	500000.000000004000000	2019-10-30T11:27:19.089	
0.108796812244302	3.721740643160882	1972288.905412404300000	28.832235822365575	-88.236023883018430	500000.000000002150000	2019-10-30T11:27:34.089	
0.129386482872833	3.700652642717349	1878792.842613899600000	29.437151111543905	-87.456072772181270	500000.000000001400000	2019-10-30T11:27:49.089	
0.151147307268278	3.677178333134632	1786413.516814791400000	30.036699040198673	-86.666065839833460	500000.000000001340000	2019-10-30T11:28:04.089	
0.174214681688974	3.650917951462058	1695359.323619791800000	30.630681470004774	-85.865726527138720	500000.000000001860000	2019-10-30T11:28:19.089	
0.198733856329095	3.621386739971175	1605881.241050652700000	31.218894884011450	-85.054778725561160	500000.000000000900000	2019-10-30T11:28:34.089	
0.224854721090939	3.587994829962813	1518283.158312705000000	31.801130283829316	-84.232947356638430	500000.000000000230000	2019-10-30T11:28:49.089	
0.252721523687299	3.550023143438194	1432934.668117175000000	32.377173097111800	-83.399959014622980	500000.000000002200000	2019-10-30T11:29:04.089	
0.282454294904315	3.506595865404358	1350286.630696021000000	32.946803096946840	-82.555542675554070	500000.000000001500000	2019-10-30T11:29:19.089	
0.314117183588561	3.456651889493081	1270889.531102691300000	33.509794334913350	-81.699430476273250	500000.000000001340000	2019-10-30T11:29:34.089	
0.347667105108393	3.398921520858310	1195413.979782893300000	34.065915089696674	-80.831358566754720	500000.000000002500000	2019-10-30T11:29:49.089	
0.382874931298287	3.331922203038577	1124671.366529133900000	34.614927833308045	-79.951068038863720	500000.000000005800000	2019-10-30T11:30:04.089	
0.419213235254476	3.254000072489615	1059630.318184792300000	35.156589217026410	-79.058305934449700	500000.000000004700000	2019-10-30T11:30:19.089	
0.455714309627254	3.163463374932650	1001421.006721976200000	35.690650079524270	-78.152826335198180	500000.000000005200000	2019-10-30T11:30:34.089	
0.490827484166948	3.058872910255425	951314.960421120500000	36.216855479427224	-77.234391536238700	500000.000000002400000	2019-10-30T11:30:49.089	
0.522350729796064	2.939548678864233	910664.985861769100000	36.734944755025300	-76.302773304891640	500000.000000003840000	2019-10-30T11:31:04.089	
0.547562672549798	2.806267418616981	880792.819230904100000	37.244651613757796	-75.357754225201620	500000.000000002040000	2019-10-30T11:31:19.089	
0.563675949971231	2.661915547880196	862827.079581160900000	37.745704254256770	-74.399129128063550	500000.000000003900000	2019-10-30T11:31:34.089	
0.568582409535662	2.511618397251557	857521.642038570100000	38.237825523797500	-73.426706605706930	500000.000000005240000	2019-10-30T11:31:49.089	
0.561584786994096	2.361925901372881	865111.330318764600000	38.720733114050500	-72.440310608195000	500000.000000002040000	2019-10-30T11:32:04.089	
0.543668453387837	2.219237169791799	885263.158633379500000	39.194139798044700	-71.439782118258040	500000.000000004000000	2019-10-30T11:32:19.089	
0.517121658460276	2.088310885760258	917145.011633083900000	39.657753711227130	-70.424980899282290	500000.000000006700000	2019-10-30T11:32:34.089	
0.484768459884580	1.971628009485153	959581.230917519900000	40.111278679437560	-69.395787309690160	500000.000000006100000	2019-10-30T11:32:49.089	
0.449261174136221	1.869653158510653	1011234.330653865900000	40.554414596497730	-68.352104175126480	500000.000000005000000	2019-10-30T11:33:04.089	
0.412688438564940	1.781524898745442	1070759.549457376400000	40.986857853938040	-67.293858707947990	500000.000000003300000	2019-10-30T11:33:19.089	
0.376489108000478	1.705729001385618	1136907.534091115700000	41.408301825146210	-66.221004461457870	500000.000000003500000	2019-10-30T11:33:34.089	
0.341541790304285	1.640564691950687	1208576.261412763300000	41.818437405912410	-65.133523304159520	500000.000000006600000	2019-10-30T11:33:49.089	
0.308311318617725	1.584402139010384	1284825.827088778600000	42.216953612960005	-64.031427397112680	500000.000000006460000	2019-10-30T11:34:04.089	
0.276986604013154	1.535795277391191	1364871.225721118700000	42.603538241588720	-62.914761155151396	500000.000000004400000	2019-10-30T11:34:19.089	
0.247586810074320	1.493512503457463	1448064.698443585800000	42.977878583007880	-61.783603170578780	500000.000000004300000	2019-10-30T11:34:34.089	
0.220034747437264	1.456527535719069	1533874.878440176400000	43.339662201308100	-60.638068075702904	500000.000000004000000	2019-10-30T11:34:49.089	
0.194204186020297	1.423994458064376	1621866.578378697400000	43.688577769304130	-59.478308318631550	500000.000000005900000	2019-10-30T11:35:04.089	
